,genres,count,mean_rating,median_rating,mode_rating,std_dev_rating,variance_rating,mean_votes,median_votes,mode_votes,std_dev_votes,variance_votes
0,Action,6988,5.810360618202633,6.0,6.5,1.5138334444765948,2.291691697615872,14476.485689753863,170.0,5,70102.99176588935,4914429454.528351
1,Adult,3,3.766666666666667,3.4,2.0,1.9756855350316593,3.9033333333333338,54.666666666666664,28.0,8,64.29100507328637,4133.333333333334
2,Adventure,3817,6.196201205134923,6.4,6.6,1.5149633566804503,2.2951139720844975,22067.74665968038,111.0,6,93018.3842125728,8652419801.51781
3,Animation,1743,6.248307515777395,6.5,6.8,1.3539822006784439,1.8332677997540419,8808.549627079748,97.0,10,45339.23391828589,2055646132.297046
4,Biography,3809,7.1622735626148595,7.2,7.0,1.0727880201970472,1.1508741362783004,5673.259648201628,40.0,6,39346.36403558722,1548136362.8209515
5,Comedy,17290,6.0026894158473105,6.1,6.2,1.404155540409435,1.9716527816625125,4297.617408906883,95.0,6,28443.308107689987,809021776.108983
6,Crime,4611,6.115441335935806,6.2,6.5,1.340714072768699,1.7975142249200322,8594.959011060508,169.0,6,41371.22867198617,1711578561.829771
7,Documentary,17753,7.332090350926604,7.4,7.2,1.086262702481933,1.1799666588033522,266.96023207345235,19.0,5,1871.7847425848518,3503578.12257344
8,Drama,30788,6.401559048980123,6.5,6.2,1.2776010469517782,1.63226443517228,3883.5747693906715,71.0,6,28632.222463574915,819804163.2036439
9,Family,3412,6.394724501758499,6.5,6.5,1.3845278394913139,1.9169173383264853,2531.2749120750295,52.0,6,22860.575825375938,522605927.0677627
10,Fantasy,2126,5.919473189087488,6.0,6.2,1.433940487725926,2.0561853223396667,12387.443085606774,89.0,6,60036.43115434111,3604373065.74994
11,Game-Show,2,7.3,7.3,5.6,2.4041630560342617,5.780000000000001,1734.5,1734.5,7,2443.0539289995218,5968512.5
12,History,2825,7.04095575221239,7.2,7.6,1.185866278826048,1.406278831256738,2776.4067256637168,38.0,5,23470.152704161996,550848067.9566826
13,Horror,7674,5.003440187646599,5.0,5.6,1.446136571643719,2.0913109838454487,3112.417904612979,79.0,7,18829.996826042163,354568780.4687579
14,Music,1968,7.091971544715447,7.2,7.2,1.3091856366529377,1.713967031218358,2771.0208333333335,42.0,6,22456.109473082783,504276852.66707826
15,Musical,721,6.498335644937587,6.6,6.2,1.4998509198018493,2.2495527816304532,1925.0554785020804,39.0,6,16738.03316119464,280161754.1052514
16,Mystery,3039,5.920401447844685,6.0,6.2,1.3813550976979174,1.9081419059360227,8113.618295491938,120.0,7,44885.76781398783,2014732152.2512264
17,News,579,7.2713298791019,7.3,7.4,0.9991554184215077,0.998311550161058,212.98618307426597,19.0,5,1163.589753304666,1353941.1139956133
18,Reality-TV,17,6.5,6.9,7.6,1.776935564391686,3.1574999999999998,27.0,18.0,6,38.64582771787919,1493.4999999999998
19,Romance,6589,6.146607983001973,6.2,6.2,1.2371511264175645,1.5305429095962488,4084.6673243284263,116.0,6,22824.344164008733,520950686.51711947
20,Sci-Fi,2206,5.489755213055304,5.65,6.4,1.546211589721224,2.3907702801882347,19474.292384406166,126.5,7,96656.75622765753,9342528524.452814
21,Short,1,8.8,8.8,8.8,,,8.0,8.0,8,,
22,Sport,1179,6.961492790500424,7.1,7.2,1.2933392680902842,1.6727264623843119,3185.601357082273,66.0,7,21784.62744764756,474569993.0327995
23,Thriller,8217,5.639114031885116,5.7,5.6,1.4209967748888135,2.0192318342444096,5860.449434100036,132.0,7,37975.62751902708,1442148285.4638872
24,War,853,6.584290738569753,6.7,7.0,1.4339812499579716,2.0563022252310263,3147.391559202814,82.0,5,19261.32873920057,370998784.7995539
25,Western,280,5.868214285714285,6.1,6.4,1.626997924959912,2.6471222478238596,8758.485714285714,66.0,5,76537.24899802824,5857950484.186174
