,title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
0,Toy Story 3,BV,415000000.0,652000000.0,2010,,,,,,
1,Alice in Wonderland (2010),BV,334200000.0,691300000.0,2010,,,,,,
2,Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000.0,2010,,,,,,
3,Inception,WB,292600000.0,535700000.0,2010,,,,,,
4,Shrek Forever After,P/DW,238700000.0,513900000.0,2010,,,,,,
5,The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,,,,,,
6,Iron Man 2,Par.,312400000.0,311500000.0,2010,,,,,,
7,Tangled,BV,200800000.0,391000000.0,2010,,,,,,
8,Despicable Me,Uni.,251500000.0,291600000.0,2010,,,,,,
9,How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,,,,,,
10,Clash of the Titans (2010),WB,163200000.0,330000000.0,2010,,,,,,
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,,,,,,
12,The King's Speech,Wein.,135500000.0,275400000.0,2010,,,,,,
13,Tron Legacy,BV,172100000.0,228000000.0,2010,,,,,,
14,The Karate Kid,Sony,176600000.0,182500000.0,2010,,,,,,
15,Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,,,,,,
16,Black Swan,FoxS,107000000.0,222400000.0,2010,,,,,,
17,Megamind,P/DW,148400000.0,173500000.0,2010,,,,,,
18,Robin Hood,Uni.,105300000.0,216400000.0,2010,tt8558276,Robin Hood,Robin Hood,2017.0,60.0,"Action,Adventure,History"
19,Robin Hood,Uni.,105300000.0,216400000.0,2010,tt4532826,Robin Hood,Robin Hood,2018.0,116.0,"Action,Adventure,Thriller"
20,The Last Airbender,Par.,131800000.0,187900000.0,2010,,,,,,
21,Little Fockers,Uni.,148400000.0,162200000.0,2010,,,,,,
22,Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,,,,,,
23,Shutter Island,Par.,128000000.0,166800000.0,2010,,,,,,
24,Salt,Sony,118300000.0,175200000.0,2010,,,,,,
25,Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,,,,,,
26,The Tourist,Sony,67600000.0,210700000.0,2010,,,,,,
27,The Expendables,LGF,103100000.0,171400000.0,2010,,,,,,
28,Grown Ups,Sony,162000000.0,109400000.0,2010,,,,,,
29,Knight & Day,Fox,76400000.0,185500000.0,2010,,,,,,
30,True Grit,Par.,171200000.0,81000000.0,2010,,,,,,
31,Gulliver's Travels,Fox,42800000.0,194600000.0,2010,,,,,,
32,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000.0,2010,,,,,,
33,The Social Network,Sony,97000000.0,128000000.0,2010,,,,,,
34,Valentine's Day,WB (NL),110500000.0,106000000.0,2010,,,,,,
35,The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,,,,,,
36,Due Date,WB,100500000.0,111200000.0,2010,,,,,,
37,Eat Pray Love,Sony,80600000.0,124000000.0,2010,,,,,,
38,Yogi Bear,WB,100200000.0,101300000.0,2010,,,,,,
39,Red,Sum.,90400000.0,108600000.0,2010,tt8851190,Red,Red,2018.0,90.0,Drama
40,Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,,,,,,
41,The A-Team,Fox,77200000.0,100000000.0,2010,,,,,,
42,Jackass 3-D,Par.,117200000.0,54500000.0,2010,,,,,,
43,The Other Guys,Sony,119200000.0,51200000.0,2010,,,,,,
44,Unstoppable,Fox,81600000.0,86200000.0,2010,tt7098772,Unstoppable,Unstoppable,2017.0,12.0,Documentary
45,Unstoppable,Fox,81600000.0,86200000.0,2010,tt9499562,Unstoppable,Unstoppable,2017.0,52.0,Documentary
