,genres,total_domestic_gross,average_domestic_gross,total_foreign_gross,average_foreign_gross
0,Action,18714336577.703186,28184241.83389034,50400598173.5438,75904515.3216021
1,Adventure,12816770408.961596,28737153.383321963,35055429385.11811,78599617.45542178
2,Animation,5063948210.545401,32254447.200926118,13324152444.29429,84867213.02098274
3,Biography,8981495278.023817,29351291.758247767,23924630858.584644,78185068.1653093
4,Comedy,26507865542.918427,27469290.718050182,73200997358.4872,75855955.81190383
5,Crime,11441270911.22477,29336592.08006351,30584734231.225887,78422395.46468176
6,Documentary,9343578338.220005,27974785.44377247,22789363468.2062,68231627.15031797
7,Drama,52587977862.784164,28031971.142209042,139672581727.6078,74452335.67569712
8,Family,4220046471.7415895,32713538.54063248,9442664687.402067,73198951.0651323
9,Fantasy,4615254102.679369,26074881.93604163,13125874877.792322,74157485.18526736
10,History,3995245672.081274,26813729.342827342,11189423120.923721,75096799.46928672
11,Horror,6595502306.282227,25270123.778859105,17416808518.441437,66731067.12046528
12,Music,3641463756.2727003,37157793.43135408,8372440106.645177,85433062.31270589
13,Musical,298870545.06698424,15730028.687736012,1016841433.003937,53517970.158101946
14,Mystery,6964611173.081274,31514077.70625011,15507963169.182579,70171779.04607502
15,News,32705300.0,5450883.333333333,244171124.87647638,40695187.47941273
16,Romance,12135753642.822865,25125783.93959185,34287351938.365158,70988306.29061109
17,Sci-Fi,3871796135.540637,27854648.457126886,9916033213.784449,71338368.44449243
18,Sport,1263982750.6698422,22175135.9766639,4353612790.390256,76379171.76123255
19,Thriller,14736960818.827627,30766097.742855173,35747034712.99458,74628464.95405968
20,War,1398154229.9377792,26380268.48939206,4068448331.015748,76763176.0569009
21,Western,1398909935.2009528,63586815.236406945,2455916374.6294293,111632562.48315588
