,genres,mean_domestic_gross,mean_foreign_gross
0,Action,13997063798.0,27744562000.0
1,Adventure,15589456297.0,29504499999.0
2,Animation,5035711999.0,9303999999.0
3,Biography,1866453200.0,2840872100.0
4,Comedy,10816838798.0,17623844099.0
5,Crime,2041604600.0,2273621100.0
6,Documentary,2114256100.0,3065776800.0
7,Drama,8987940200.0,14236505400.0
8,Family,1305267500.0,2134300000.0
9,Fantasy,4473551200.0,9217900000.0
10,History,1011006100.0,1421731000.0
11,Horror,2948776300.0,4282648100.0
12,Music,521545200.0,1166302000.0
13,Musical,299200000.0,559200000.0
14,Mystery,1358533800.0,2472247100.0
15,Romance,1543682200.0,2343062100.0
16,Sci-Fi,4184005999.0,7684300000.0
17,Sport,876450000.0,926200000.0
18,Thriller,3094689600.0,6507454300.0
19,War,3636000.0,105433000.0
20,Western,354000.0,3400000.0
