,genres,count,mean_rating,median_rating,mode_rating,std_dev_rating,variance_rating,mean_votes,median_votes,mode_votes,std_dev_votes,variance_votes,conf_interval_rating,conf_interval_votes,t_stat_rating,p_value_rating,t_stat_votes,p_value_votes
0,Action,6988,5.810360618202633,6.0,6.5,1.5138334444765948,2.291691697615872,14476.485689753863,170.0,5,70102.99176588935,4914429454.528351,"(5.700761489830701, 5.780267338065033)","(405.5854855615271, 442.6313278339502)",-29.823119160768968,6.161976340648599e-182,26.590983126088716,4.304766712984296e-147
1,Adult,3,3.766666666666667,3.4,2.0,1.9756855350316593,3.9033333333333338,54.666666666666664,28.0,8,64.29100507328637,4133.333333333334,"(1.9412599075248562, 5.592073425808477)","(-4.73409986823475, 114.06743320156808)",-2.2607796042919897,0.1522084416888541,-3.1821966830967967,0.08617821229029468
2,Adventure,3817,6.196201205134923,6.4,6.6,1.5149633566804503,2.2951139720844975,22067.74665968038,111.0,6,93018.3842125728,8652419801.51781,"(6.170263816454142, 6.2778225427215215)","(267.52804541332245, 304.88477761579105)",-4.424013769836328,1.0026839952740139e-05,11.899643314007815,5.969249419496332e-32
3,Animation,1743,6.248307515777395,6.5,6.8,1.3539822006784439,1.8332677997540419,8808.549627079748,97.0,10,45339.23391828589,2055646132.297046,"(6.189692278089096, 6.319985141265745)","(201.83357493378588, 237.92378832007108)",-2.725232203140166,0.006504262543017779,5.113293420226964,3.5961977186320117e-07
4,Biography,3809,7.1622735626148595,7.2,7.0,1.0727880201970472,1.1508741362783004,5673.259648201628,40.0,6,39346.36403558722,1548136362.8209515,"(7.263594737982664, 7.331735745410955)","(104.59402159331668, 118.95020727876488)",54.76860988155478,0.0,-16.65665552073823,1.1068045824612598e-59
5,Comedy,17290,6.0026894158473105,6.1,6.2,1.404155540409435,1.9716527816625125,4297.617408906883,95.0,6,28443.308107689987,809021776.108983,"(6.021354538480377, 6.066086285802552)","(171.74328663961498, 179.99912494490187)",-26.440510187963955,1.8216060956569755e-150,1.4653912959462525,0.14283608022352928
6,Crime,4611,6.115441335935806,6.2,6.5,1.340714072768699,1.7975142249200322,8594.959011060508,169.0,6,41371.22867198617,1711578561.829771,"(6.060955224557244, 6.145383919658288)","(393.3158518232376, 437.89756603201863)",-11.247473757065382,6.813392103621081e-29,21.347735533369576,1.4302698666891178e-95
7,Documentary,17753,7.332090350926604,7.4,7.2,1.086262702481933,1.1799666588033522,266.96023207345235,19.0,5,1871.7847425848518,3503578.12257344,"(7.432835033583472, 7.464244960983959)","(27.70492871990214, 28.712835778264367)",137.6594513241375,0.0,-562.2621350523408,0.0
8,Drama,30788,6.401559048980123,6.5,6.2,1.2776010469517782,1.63226443517228,3883.5747693906715,71.0,6,28632.222463574915,819804163.2036439,"(6.467074116476176, 6.496388494019963)","(135.23405776591562, 140.32300204136317)",18.22276872008066,1.0174754477397857e-73,-26.964209363630292,6.888291130595966e-158
9,Family,3412,6.394724501758499,6.5,6.5,1.3845278394913139,1.9169173383264853,2531.2749120750295,52.0,6,22860.575825375938,522605927.0677627,"(6.408920052917705, 6.506175575497596)","(80.1770472341989, 87.7566959352)",4.517246550575977,6.512830554220482e-06,-45.92567156055373,0.0
10,Fantasy,2126,5.919473189087488,6.0,6.2,1.433940487725926,2.0561853223396667,12387.443085606774,89.0,6,60036.43115434111,3604373065.74994,"(5.887629710943075, 6.020525291948771)","(198.80286641035497, 232.89985192394232)",-11.540800779109377,9.798643424910914e-30,4.949673617003632,8.157947396637707e-07
11,Game-Show,2,7.3,7.3,5.6,2.4041630560342617,5.780000000000001,1734.5,1734.5,7,2443.0539289995218,5968512.5,"(4.943963498605547, 9.656036501394453)","(-659.648856564068, 4128.648856564068)",0.5614980278227211,0.6742875039594196,0.9040319487210333,0.5320601248333496
12,History,2825,7.04095575221239,7.2,7.6,1.185866278826048,1.406278831256738,2776.4067256637168,38.0,5,23470.152704161996,550848067.9566826,"(7.162872320597848, 7.2478167253385495)","(70.82809230679767, 80.5765013327783)",39.672618363610155,9.274743319055194e-262,-39.02917878445267,3.1642418209253265e-255
13,Horror,7674,5.003440187646599,5.0,5.6,1.446136571643719,2.0913109838454487,3112.417904612979,79.0,7,18829.996826042163,354568780.4687579,"(4.9039322589752405, 4.977167290644264)","(151.27600479516795, 162.5646536921748)",-75.19206380935077,0.0,-5.508434860680181,3.760455053946344e-08
14,Music,1968,7.091971544715447,7.2,7.2,1.3091856366529377,1.713967031218358,2771.0208333333335,42.0,6,22456.109473082783,504276852.66707826,"(7.227816074244822, 7.339037508309695)","(91.70410697853103, 107.98685875355619)",33.047970938709305,4.072857656559523e-183,-17.55402417932599,3.080936912394556e-63
15,Musical,721,6.498335644937587,6.6,6.2,1.4998509198018493,2.2495527816304532,1925.0554785020804,39.0,6,16738.03316119464,280161754.1052514,"(6.480370938718283, 6.705605688994573)","(59.545374860483335, 73.42624450512601)",4.3044376091142595,1.9559293603016306e-05,-29.99354273478115,2.5870657394020653e-121
16,Mystery,3039,5.920401447844685,6.0,6.2,1.3813550976979174,1.9081419059360227,8113.618295491938,120.0,7,44885.76781398783,2014732152.2512264,"(5.8277839009734995, 5.939229709915211)","(229.18291378450672, 260.5272543500009)",-16.244977916403986,1.7249661525801037e-56,9.011315298158918,3.9476528119674834e-19
17,News,579,7.2713298791019,7.3,7.4,0.9991554184215077,0.998311550161058,212.98618307426597,19.0,5,1163.589753304666,1353941.1139956133,"(7.2795603568137555, 7.443808064238876)","(25.202891762168576, 30.65395034309458)",24.227774033209208,5.727987535726505e-85,-104.05842634636599,0.0
18,Reality-TV,17,6.5,6.9,7.6,1.776935564391686,3.1574999999999998,27.0,18.0,6,38.64582771787919,1493.4999999999998,"(5.762442547950962, 7.450057452049038)","(12.711274062859836, 23.288725937140164)",0.586532898583042,0.5662404751471797,-55.54065552860233,8.776270486389453e-19
19,Romance,6589,6.146607983001973,6.2,6.2,1.2371511264175645,1.5305429095962488,4084.6673243284263,116.0,6,22824.344164008733,520950686.51711947,"(6.151216219774374, 6.213183413589513)","(222.7565931048414, 241.1946442920422)",-10.326164593526077,9.063588266363285e-25,12.582807243574957,8.221414244331953e-36
20,Sci-Fi,2206,5.489755213055304,5.65,6.4,1.546211589721224,2.3907702801882347,19474.292384406166,126.5,7,96656.75622765753,9342528524.452814,"(5.325880898117799, 5.472361825660344)","(250.8186276901621, 291.4482586360323)",-25.31752503738433,2.091121724525773e-121,9.486025004174678,7.216922241123367e-21
21,Short,1,8.8,8.8,8.8,,,8.0,8.0,8,,,"(8.8, 8.8)","(8.0, 8.0)",,,,
22,Sport,1179,6.961492790500424,7.1,7.2,1.2933392680902842,1.6727264623843119,3185.601357082273,66.0,7,21784.62744764756,474569993.0327995,"(6.9928654056162385, 7.1448292984336055)","(129.7520778450595, 158.22923056615548)",18.650349331789027,1.6705855399378598e-66,-3.9615053207979476,7.997790640980427e-05
23,Thriller,8217,5.639114031885116,5.7,5.6,1.4209967748888135,2.0192318342444096,5860.449434100036,132.0,7,37975.62751902708,1442148285.4638872,"(5.553644803481864, 5.621693279984765)","(247.68069848494193, 265.95169936295684)",-43.64894100891309,0.0,18.027093831517703,5.056893622199239e-71
24,War,853,6.584290738569753,6.7,7.0,1.4339812499579716,2.0563022252310263,3147.391559202814,82.0,5,19261.32873920057,370998784.7995539,"(6.645742843162692, 6.8288580276645945)","(172.11441357435925, 220.06555739806456)",8.382140840345539,2.9275694698639865e-16,1.9037772268587683,0.057356175491317656
25,Western,280,5.868214285714285,6.1,6.4,1.626997924959912,2.6471222478238596,8758.485714285714,66.0,5,76537.24899802824,5857950484.186174,"(5.682024297777021, 6.103193093527327)","(97.84624206448308, 144.71027967464735)",-4.2055710154857096,3.7377290783305364e-05,-4.298873332944315,2.540510107558039e-05
